id,name,LINK_achievements
384,Adamant shield (h4),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
385,Adamant shield (h5),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
386,Adamant helm (h1),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
387,Adamant helm (h2),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
388,Adamant helm (h3),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
389,Adamant helm (h4),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
390,Adamant helm (h5),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
391,Adamant platebody (h1),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
392,Adamant platebody (h2),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
393,Adamant platebody (h3),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
394,Adamant platebody (h4),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
395,Adamant platebody (h5),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
396,Mithril full helm (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
397,Mithril platebody (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
398,Mithril platelegs (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
399,Mithril plateskirt (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
400,Mithril kiteshield (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
401,Mithril full helm (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
402,Mithril platebody (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
403,Mithril platelegs (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
404,Mithril plateskirt (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
405,Mithril kiteshield (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
406,Green d'hide body (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
407,Green d'hide body (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
408,Green d'hide chaps (g),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
409,Green d'hide chaps (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
410,Saradomin mitre,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
411,Saradomin cloak,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
412,Guthix mitre,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
413,Guthix cloak,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
414,Zamorak mitre,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
415,Zamorak cloak,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
416,Ancient mitre,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
417,Ancient cloak,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
418,Ancient stole,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
419,Ancient crozier,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
420,Armadyl mitre,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
421,Armadyl cloak,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
422,Armadyl stole,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
423,Armadyl crozier,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
424,Bandos mitre,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
425,Bandos cloak,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
426,Bandos stole,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
427,Bandos crozier,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
428,Red boater,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
429,Green boater,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
430,Orange boater,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
431,Black boater,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
432,Blue boater,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
433,Pink boater,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
434,Purple boater,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
435,White boater,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
436,Red headband,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
437,Black headband,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
438,Brown headband,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
439,White headband,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
440,Blue headband,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
441,Gold headband,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
442,Pink headband,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
443,Green headband,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
444,Crier hat,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
445,Crier coat,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
446,Crier bell,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
447,Adamant cane,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
448,Arceuus banner,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
449,Piscarilius banner,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
450,Hosidius banner,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
451,Shayzien banner,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
452,Lovakengj banner,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
453,Cabbage round shield,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
454,Black unicorn mask,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
455,White unicorn mask,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
456,Cat mask,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
457,Penguin mask,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
458,Leprechaun hat,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
459,Black leprechaun hat,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
460,Wolf mask,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
461,Wolf cloak,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
462,Purple elegant shirt,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
463,Purple elegant blouse,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
464,Purple elegant legs,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
465,Purple elegant skirt,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
466,Black elegant shirt,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
467,White elegant blouse,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
468,Black elegant legs,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
469,White elegant skirt,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
470,Pink elegant shirt,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
471,Pink elegant blouse,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
472,Pink elegant legs,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
473,Pink elegant skirt,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
474,Gold elegant shirt,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
475,Gold elegant blouse,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
476,Gold elegant legs,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
477,Gold elegant skirt,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
478,Gnomish firelighter,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
479,Strength amulet (t),"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
480,Yew comp bow,"473,477,476,475,474,478,479,495,480,496,492,493,487,482,490,489,483,491,481,485,484,486,488,494"
481,3rd age range coif,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
482,3rd age range top,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
483,3rd age range legs,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
484,3rd age vambraces,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
485,3rd age robe top,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
486,3rd age robe,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
487,3rd age mage hat,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
488,3rd age amulet,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
489,3rd age plateskirt,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
490,3rd age platelegs,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
491,3rd age platebody,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
492,3rd age full helmet,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
493,3rd age kiteshield,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
494,Gilded platebody,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
495,Gilded platelegs,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
496,Gilded plateskirt,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
497,Gilded full helm,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
498,Gilded kiteshield,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
499,Gilded med helm,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
500,Gilded chainbody,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
501,Gilded sq shield,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
502,Gilded 2h sword,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
503,Gilded spear,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
504,Gilded hasta,"461,457,447,444,445,455,451,446,456,453,449,462,458,454,460,450,452,448,459,210,212,203,209,204,205,198,199,201,195,208,196,206,207,213,202,197,211,200,378,382,383,370,363,366,388,384,389,373,369,386,392,381,365,361,391,374,362,364,379,380,372,387,376,368,377,367,385,375,371,360"
505,Robin hood hat,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
506,Dragon boots ornament kit,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
507,Rune defender ornament kit,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
508,Tzhaar-ket-om ornament kit,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
509,Berserker necklace ornament kit,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
510,Rune full helm (t),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
511,Rune platebody (t),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
512,Rune platelegs (t),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
513,Rune plateskirt (t),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
514,Rune kiteshield (t),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
515,Rune full helm (g),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
516,Rune platebody (g),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
517,Rune platelegs (g),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
518,Rune plateskirt (g),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
519,Rune kiteshield (g),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
520,Zamorak full helm,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
521,Zamorak platebody,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
522,Zamorak platelegs,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
523,Zamorak plateskirt,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
524,Zamorak kiteshield,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
525,Guthix full helm,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
526,Guthix platebody,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
527,Guthix platelegs,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
528,Guthix plateskirt,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
529,Guthix kiteshield,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
530,Saradomin full helm,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
531,Saradomin platebody,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
532,Saradomin platelegs,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
533,Saradomin plateskirt,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
534,Saradomin kiteshield,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
535,Ancient full helm,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
536,Ancient platebody,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
537,Ancient platelegs,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
538,Ancient plateskirt,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
539,Ancient kiteshield,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
540,Armadyl full helm,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
541,Armadyl platebody,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
542,Armadyl platelegs,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
543,Armadyl plateskirt,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
544,Armadyl kiteshield,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
545,Bandos full helm,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
546,Bandos platebody,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
547,Bandos platelegs,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
548,Bandos plateskirt,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
549,Bandos kiteshield,"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
550,Rune shield (h1),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
551,Rune shield (h2),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
552,Rune shield (h3),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
553,Rune shield (h4),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
554,Rune shield (h5),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
555,Rune helm (h1),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
556,Rune helm (h2),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
557,Rune helm (h3),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
558,Rune helm (h4),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
559,Rune helm (h5),"360,371,375,385,367,377,368,376,387,372,380,379,364,362,374,391,361,365,381,392,386,369,373,389,384,388,366,363,370,383,382,378,390"
